College Name,Zone,1st year,Total No of students
M.A.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XII : Ariyalur,358,1020
M.A.M. SCHOOL OF ENGINEERING,Zone XII : Ariyalur,284,872
M.E.T. ENGINEERING COLLEGE,Zone XX : Tirunelveli-II,133,368
M.I.E.T. ENGINEERING COLLEGE,Zone XVIII : Trichy,355,1357
M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,Zone XI : Erode,197,536
MADHA ENGINEERING COLLEGE,Zone II : Chennai-II,213,874
MADHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone II : Chennai-II,64,451
MADURAI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone XXII : Madurai,0,137
MAHA BARATHI ENGINEERING COLLEGE,Zone XXI : Villupuram,228,789
MAHAKAVI BHARATHIYAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVI : Tirunelveli-I,9,123
MAHALAKSHMI ENGINEERING COLLEGE,Zone XVIII : Trichy,29,249
MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone XIV : Karaikudi,67,674
MAHENDRA COLLEGE OF ENGINEERING,Zone VIII : Salem,533,1346
MAHENDRA ENGINEERING COLLEGE FOR WOMEN,Zone VIII : Salem,243,736
MANGAYARKARASI COLLEGE OF ENGINEERING,Zone XXII : Madurai,272,1011
MAR EPHRAEM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVII : Nagercoil,286,1072
MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVII : Nagercoil,55,464
MARTHANDAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVII : Nagercoil,124,656
MEENAKSHI COLLEGE OF ENGINEERING,Zone III : Chennai-III,363,1266
MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,Zone XII : Ariyalur,146,852
MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,Zone III : Chennai-III,430,1615
MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,Zone III : Chennai-III,232,773
MNSK ENGINEERING COLLEGE ,Zone XIV : Karaikudi,10,109
MOHAMED SATHAK ENGINEERING COLLEGE,Zone XIV : Karaikudi,371,1054
MOHAMMED SATHAK A.J.COLLEGE OF ENGINEERING,Zone III : Chennai-III,235,823
MOOKAMBIGAI COLLEGE OF ENGINEERING,Zone XVIII : Trichy,262,990
MOTHER TERASA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XIV : Karaikudi,125,426
MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XIV : Karaikudi,250,1097
"Madras Institute of Technology, Anna University",Zone IV : MIT - Chromepet,741,2924
Mahindra Institute of Engineering & Technology,Zone VIII : Salem,106,448
Mailam engineering college,Zone V : Tindivanam,663,1902
Muthayammal College of Engineering,Zone VIII : Salem,217,826
N P R COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XV : Dindigul,358,979
N.S.N. College of Engineering and Technology ,Zone XV : Dindigul,163,713
NARASU'S SARATHY INSTITUTE OF TECHNOLOGY,Zone VII : Dharmapuri,331,898
NARAYANAGURU COLLEGE OF ENGINEERING,Zone XVII : Nagercoil,82,315
NEHRU INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone X : Coimbatore - II,630,1866
NELLAI COLLEGE OF ENGINEERING,Zone XX : Tirunelveli-II,92,309
NELLIANDAVAR INSTITUTE OF TECHNOLOGY,Zone XII : Ariyalur,119,699
NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IV : MIT - Chromepet,212,690
Nadar Saraswathi College of Engineering and Technology,Zone XV : Dindigul,249,771
Nandha College of Technology,Zone XI : Erode,276,906
Nehru Institute of Technology,Zone X : Coimbatore - II,255,743
"OASYS Institute of Technology, Trichy",Zone XVIII : Trichy,107,378
OXFORD COLLEGE OF ENGINEERING,Zone VI : Arni,38,328
OXFORD ENGINEERING COLLEGE,Zone XVIII : Trichy,119,873
P.B. COLLEGE OF ENGINEERING,Zone II : Chennai-II,193,329
P.R.ENGINEERING COLLEGE,Zone XIII : Pattukkottai,57,158
P.S.G. COLLEGE OF TECHNOLOGY,Zone X : Coimbatore - II,0,4390
P.S.R.R COLLEGE OF ENGINEERING,Zone XVI : Tirunelveli-I,150,259
P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VII : Dharmapuri,335,1076
P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VI : Arni,270,781
P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XXII : Madurai,16,151
PAAVAI COLLEGE OF ENGINEERING,Zone VIII : Salem,363,1012
PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,Zone XIV : Karaikudi,163,546
PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IX : Coimbatore - I,173,848
PARK COLLEGE OF TECHNOLOGY,Zone IX : Coimbatore - I,28,77
PAVAI COLLEGE OF TECHNOLOGY,Zone VIII : Salem,0,349
PERI INSTITUTE OF TECHNOLOGY,Zone IV : MIT - Chromepet,284,1071
"PET ENGINEERING COLLEGE, VALLIOOR",Zone XX : Tirunelveli-II,173,692
PGP COLLEGE OF ENGINEERING AND TECHNOLOGY ,Zone VIII : Salem,166,359
PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VII : Dharmapuri,115,286
PONJESLY COLLEGE OF ENGINEERING,Zone XVII : Nagercoil,366,1408
