College Name,College Code,Category Name,University,District,Zone,Group,Total No of students,1st year
Adhiparasakthi College of Engineering,5101,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,493,166
ANNAMALAIAR COLLEGE OF ENGINEERING,5102,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,392,30
ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,5103,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,241,17
Arunai Engineering College,5104,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,1784,563
Bharathidasan Engineering College ,5105,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,Zone VII : Dharmapuri,2.0,621,244
C.  Abdul Hakeem college of engineering and technology,5106,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,1010,324
GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,5108,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,442,170
Global Institute of Engineering and Technology,5109,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,903,260
J E I MATHAAJEE COLLEGE OF ENGINEERING,5110,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone VI : Arni,2.0,59,6
KINGSTON ENGINEERING COLLEGE,5113,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,926,327
OXFORD COLLEGE OF ENGINEERING,5114,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,328,38
P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY,5115,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone VI : Arni,2.0,781,270
Pallavan College of Engineering,5117,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone VI : Arni,2.0,222,19
PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY,5118,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,Zone VII : Dharmapuri,2.0,286,115
Priyadarshi Engineering college,5119,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,Zone VII : Dharmapuri,2.0,677,200
RANIPPETTAI ENGINEERING COLLEGE,5121,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,101,5
S.K.P. ENGINEERING COLLEGE,5122,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,436,161
SREE KRISHNA COLLEGE OF ENGINEERING,5126,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,362,10
SRI BALAJI CHOCKALINGAM ENGINEERING COLLEGE,5127,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,682,174
THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,5131,Government College,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,1596,379
THIRUMALAI ENGINEERING COLLEGE,5132,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone VI : Arni,2.0,672,135
University College of Engineering ARNI,5133,University Constituent Colleges,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,616,142
University College of Engineering kanchipuram,5134,University Constituent Colleges,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,871,189
ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY,5135,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,577,189
MMES ACADEMY OF ARCHITECTURE,5137,Architecture,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,38,0
ANNAPOORANA ENGINEERING COLLEGE,6102,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,1112,245
Dhirajlal Gandhi College of Technology,6105,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VII : Dharmapuri,2.0,1470,430
GOVERNMENT COLLEGE OF ENGINEERING - BARGUR,6107,Government College,ANNA UNIVERSITY,KRISHNAGIRI,Zone VII : Dharmapuri,2.0,907,222
ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,6108,Affilated Non - Autonomous,ANNA UNIVERSITY,KRISHNAGIRI,Zone VII : Dharmapuri,2.0,1754,662
JAYALAKSHMI INSTITUTE OF TECHNOLOGY,6109,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,Zone VII : Dharmapuri,2.0,1486,229
JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,6110,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,Zone VII : Dharmapuri,2.0,1000,125
KNOWLEDGE INSTITUTE OF TECHNOLOGY,6112,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,2341,602
MAHENDRA ENGINEERING COLLEGE,6113,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone XVIII : Trichy,5.0,2865,0
MAHENDRA ENGINEERING COLLEGE FOR WOMEN,6114,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,736,243
Mahindra Institute of Engineering & Technology,6115,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone VIII : Salem,2.0,448,106
MAHENDRA INSTITUTE OF TECHNOLOGY,6116,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,,,927,0
NARASU'S SARATHY INSTITUTE OF TECHNOLOGY,6117,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VII : Dharmapuri,2.0,898,331
P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY,6118,Affilated Non - Autonomous,ANNA UNIVERSITY,KRISHNAGIRI,Zone VII : Dharmapuri,2.0,1076,335
SAPTHAGIRI COLLEGE OF ENGINEERING,6120,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,Zone VII : Dharmapuri,2.0,146,0
"Sengunthar College of Engineering, Tiruchengode ",6122,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,Zone XI : Erode,3.0,511,0
SENGUNTHAR ENGINEERING COLLEGE,6123,Affilated Autonomous,ANNA UNIVERSITY,NAMAKKAL,,,1142,343
Shree Sathyam College of Engineering and Technology ,6124,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VIII : Salem,2.0,325,157
THE KAVERY COLLEGE OF ENGINEERING,6126,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VII : Dharmapuri,2.0,145,0
THE KAVERY ENGINEERING COLLEGE,6127,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,Zone VII : Dharmapuri,2.0,1703,707
VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,6128,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,Zone VII : Dharmapuri,2.0,879,174
